Date,Adj Close,Close,High,Low,Open,Volume,label,return,price_change,high_low_spread,open_close_spread,rolling_mean_5,rolling_mean_10,rolling_std_5,rolling_std_10,volume_change,volume_ma_5,volume_spike,momentum_5,momentum_10
2019-01-16,98.37393188476562,105.37999725341797,106.26000213623047,104.95999908447266,105.26000213623047,29853900.0,0,0.1180419085073712,0.10675746119810833,-0.6808811544126632,-0.02588914731922362,-1.7286420350732468,-1.735331370282587,-0.8092866289461143,-0.9611067194257108,-0.24695489972980253,0.14427205229037168,0.013903188582905894,0.0018945922866964405,0.15404955825818487
2019-01-17,99.0647201538086,106.12000274658203,106.62999725341797,104.76000213623047,105.0,28393000.0,0,0.276624034591099,0.2653662277804186,-0.22649174740224942,-0.6097013846953008,-1.7233306254917706,-1.7261334112535673,-0.7031919064540152,-1.184329000749495,-0.23367557486487572,0.11105602441338334,-0.13111087601752164,0.1428350623556636,0.49106476078967276
2019-01-18,100.54901885986328,107.70999908447266,107.9000015258789,105.91000366210938,107.45999908447266,37427600.0,0,0.6353960586958921,0.6262422710190677,-0.15306949630282649,-0.09920233052036277,-1.7129818335241673,-1.7200366011024937,-0.6026966017444102,-1.0758426638470657,0.5856329431654315,0.29182214674357887,0.7520955668106827,0.38173271291014454,0.2689069072705532
2019-01-22,98.65398406982422,105.68000030517578,107.0999984741211,104.86000061035156,106.75,32371300.0,0,-0.9091361189288661,-0.9073325549826833,0.08082585411332462,0.6725203778241168,-1.705330893244726,-1.7162181799686815,-0.9269766538076658,-1.1093517529827632,-0.42595471098514526,0.36985779518120426,0.04084100703692542,0.2537872085900205,0.10568932776125911
2019-01-23,99.61550903320312,106.70999908447266,107.04000091552734,105.33999633789062,106.12000274658203,25874300.0,0,0.39971259021771594,0.38885655389681545,-0.3718263745135125,-0.2981125410385498,-1.7017478119864728,-1.712093870533133,-0.9666946671824429,-1.1080235918739274,-0.5723657974776868,0.2565333403444687,-0.6152580978887341,0.060869163371763256,0.1276023320074074
2019-01-24,99.139404296875,106.19999694824219,107.0,105.33999633789062,106.86000061035156,23164800.0,0,-0.2604986671668291,-0.26962257447155163,-0.3976316422893996,0.43006611518060667,-1.7000194997437148,-1.7100580836927761,-1.0135994720205905,-1.10038837792166,-0.3581626978053558,0.12385369620738362,-0.8189128754875734,-0.02709318019448179,-0.0220137345005877
2019-01-25,100.04492950439453,107.16999816894531,107.87999725341797,106.19999694824219,107.23999786376953,31225600.0,0,0.3720583571141926,0.36108299200140526,-0.3937531875047956,0.08521647426869079,-1.6978064258184868,-1.7062924063613734,-1.0076533868301105,-1.094921228163543,0.6520868883821086,0.18003888703764587,0.141047635547054,-0.0041033775263699555,0.10191090550845049
2019-01-28,98.0938720703125,105.08000183105469,106.4800033569336,104.66000366210938,106.26000213623047,29476700.0,0,-0.9395541860149753,-0.9370159025569884,-0.2524026945233962,0.7410145884038187,-1.7033496674564932,-1.7038874370468742,-0.9983626846696909,-1.1717253906678384,-0.24946118644782345,0.022331186065983076,0.12847419161789841,-0.3719463211390461,0.0044334917501897865
2019-01-29,96.09616088867188,102.94000244140625,104.97000122070312,102.16999816894531,104.87999725341797,31490500.0,0,-0.9797093181019315,-0.9761707907614084,0.5970409604319962,1.213272642099601,-1.7091247572314945,-1.7029486553065225,-0.7237636502769778,-1.2403093699950543,0.027991538670048915,0.004860340876653496,0.4226782166472095,-0.38294170941174677,-0.10060019000739387
2019-01-30,99.30743408203125,106.37999725341797,106.37999725341797,104.33000183105469,104.62000274658203,49471900.0,0,1.455506591575923,1.4619125899422667,-0.08472161094497385,-0.9811353133736741,-1.7098203016424796,-1.7015035684723683,-0.7388625604468734,-1.2464393225244192,1.1498183528203574,0.47292348397352424,1.882494338897609,-0.1420444813811235,-0.06432987300812597
2019-01-31,97.48709869384766,104.43000030517578,105.22000122070312,103.18000030517578,103.80000305175781,55636400.0,0,-0.885161242806673,-0.8839228003924501,-0.062013381281727405,-0.3293482349829573,-1.713550921162415,-1.7025056363375513,-0.7335722822991476,-1.2228232185387737,0.15360540271175344,1.1170042022408204,1.5391029069508555,-0.28598279243358254,-0.23963736601507796
2019-02-01,95.94676208496094,102.77999877929688,104.0999984741211,102.3499984741211,103.77999877929688,35535700.0,0,-0.7678656083465881,-0.769214267473094,-0.27763397625092,0.6480042877688813,-1.7228037169118766,-1.7060287114920496,-0.7807438601719271,-1.1319420173525105,-0.9307321272751288,1.202495902797734,-0.4609635830536709,-0.547871770886897,-0.420235457284774
2019-02-04,98.70999145507812,105.73999786376953,105.80000305175781,102.7699966430664,102.87000274658203,31315100.0,0,1.2514385241611028,1.252564935488674,0.7221260925002223,-1.6382486840433659,-1.721412644170371,-1.7081066917648189,-0.7464369135655989,-1.187442054199394,-0.3895236768069787,1.2389609366261438,-0.8835285826817784,-0.04308674954217771,-0.3167127985245372
2019-02-05,100.09159851074219,107.22000122070312,107.2699966430664,105.95999908447266,106.05999755859375,27325400.0,0,0.5910954607368701,0.5815279453671436,-0.6910681692255168,-0.626120294263146,-1.7123916965579045,-1.7064822808310176,-0.7063359063176956,-1.1517011618664068,-0.40879229062446737,1.1563453402386819,-1.2013929698889914,0.3187597494881537,-0.05148358325235323
2019-02-06,98.98070526123047,106.02999877929688,107.0,105.52999877929688,107.0,20609800.0,0,-0.5507349741848235,-0.5560918712623745,-0.5495402633131885,0.6119693161497896,-1.7131293878663136,-1.7071995530868833,-0.721385479055745,-1.1653432986326644,-0.6729268775495771,0.5838597805895567,-1.5075433414799844,-0.14404329624190507,-0.21923538476627655
2019-02-07,98.27122497558594,105.2699966430664,105.58999633789062,104.29000091552734,105.19000244140625,29760700.0,0,-0.36997941364497905,-0.3778967573140775,-0.6797791161936516,-0.002401663111115231,-1.7113589287261315,-1.7081805282596474,-0.7403862035031173,-1.1731524752683176,0.8663933458233912,0.07061006571042927,0.09957070324223491,-0.02509436533370022,-0.23812634301773108
2019-02-08,98.6446533203125,105.66999816894531,105.77999877929688,104.26000213623047,104.38999938964844,21461100.0,0,0.1305869386578697,0.11928450090400793,-0.5048026555390037,-0.7063720975557825,-1.7052676809388219,-1.7097627457610365,-1.0249103752147537,-1.2142436194573996,-0.7468249942715272,-0.20856245665757497,-0.683626125181426,0.17981885689532895,-0.28119770477079564
2019-02-11,98.2525634765625,105.25,106.58000183105469,104.97000122070312,106.19999694824219,18914100.0,0,-0.22367236424530232,-0.23314361270225975,-0.4263472378063559,0.6043880625280581,-1.7063004487705948,-1.7095834297089636,-1.0027262253967548,-1.2142333798318072,-0.38932091676708136,-0.4545387863497595,-0.7648854580043086,-0.15803728811345857,-0.15500624201259
2019-02-12,99.78353118896484,106.88999938964844,107.13999938964844,105.4800033569336,106.13999938964844,25056600.0,0,0.6622748925553775,0.653393327864525,-0.4063127226111886,-0.39035191686592124,-1.70699599318158,-1.7054169268410022,-1.0450106230823073,-1.2597198991167557,0.600271540534562,-0.499540890761148,0.2978976757207204,-0.1420444813811235,0.13062495450839542
2019-02-13,99.7088623046875,106.80999755859375,107.77999877929688,106.70999908447266,107.5,18394900.0,0,-0.07632940009351587,-0.08689503564818118,-0.8802168353500243,0.4452804089220628,-1.705351990814135,-1.7049633575020346,-1.0017872521747377,-1.2482503795571036,-0.7177874244713759,-0.5434738778295473,-0.7317346389313947,-0.03109157253140577,-0.13535948400931488
2019-02-14,99.79289245605469,106.9000015258789,107.29000091552734,105.66000366210938,106.30999755859375,21784700.0,0,-0.003836854971772129,-0.014767158265294556,-0.4305641556819037,-0.29750762746414583,-1.701916431737099,-1.7023579713954688,-1.0108615005075776,-1.2526253780265304,0.28677453773755,-0.7016794423505427,0.10680414132695454,0.05387293005134735,0.018790804503309406
2019-02-15,101.02510070800781,108.22000122070312,108.30000305175781,107.36000061035156,107.91000366210938,26606900.0,0,0.5169545460056224,0.506791817216839,-0.9947133934330415,-0.13290040510478018,-1.6965417937692544,-1.6966197933485412,-0.9257391030129448,-1.3561409635257227,0.3695189111711388,-0.5996114641770048,0.7491303207413736,0.14583366595451638,0.24321548077159633
2019-02-19,100.97844696044922,108.16999816894531,108.66000366210938,107.77999877929688,107.79000091552734,18038500.0,0,-0.06327217237669962,-0.07391196324972493,-1.0420546735842924,-0.17310820529065246,-1.6903873175955761,-1.694056600674388,-1.0289261772804825,-1.320766947210368,-0.8431401039732521,-0.6169791663202575,-0.6897737073989969,0.18281746049418174,0.015768182002321364
2019-02-20,100.45343017578125,107.1500015258789,107.94000244140625,106.29000091552734,107.86000061035156,21607700.0,0,-0.47389535549248224,-0.4804270785952793,-0.4175718846031844,0.4555810818497726,-1.6898393114462733,-1.6941304371692165,-1.0406854782107005,-1.3219832205312159,0.31709433602370685,-0.6853887916307466,0.04523422570504834,-0.08306914768069583,-0.17314140051222396
2019-02-21,102.57220458984375,109.41000366210938,109.4800033569336,106.87000274658203,106.9000015258789,29063200.0,0,0.9088086621496112,0.9031725429768114,0.3094473794931684,-1.3777771484179264,-1.684359282114171,-1.6905651685823055,-0.9428883927009158,-1.2347750750702478,0.6455321127569347,-0.47378091500344777,0.8997452737946394,0.15083184702951158,0.08755416926162517
2019-02-22,104.03469848632812,110.97000122070312,111.19999694824219,109.81999969482422,110.05000305175781,27763200.0,0,0.6028507554611058,0.5933887867383862,-0.6723325085583721,-0.4693445756529132,-1.67578094928675,-1.684552737248483,-0.7961019101669181,-1.1251679411737814,-0.22429181373170065,-0.35519616481679145,0.4718833710164842,0.29776876168082345,0.26286223877487147
2019-02-25,104.6159439086914,111.58999633789062,112.18000030517578,111.26000213623047,111.76000213623047,23750600.0,0,0.21164103721160726,0.2003055493847328,-1.0326781101512343,0.13918153763224492,-1.6686780151566118,-1.6783082541077523,-0.6695544220673353,-1.038648322667777,-0.4470078973969107,-0.4118514499147502,-0.05811441366960661,0.22779803970769505,0.27948579777086424
2019-02-26,105.33782958984375,112.36000061035156,113.23999786376953,111.16999816894531,111.26000213623047,21536700.0,0,0.2711055871095004,0.25983757744306035,-0.1575911413572624,-0.562318429000447,-1.6598467527032514,-1.6708085425073627,-0.6036925294554686,-1.001441718270797,-0.33249143948017096,-0.34246394918664763,-0.5022856355761955,0.3097639386915954,0.369406943529802
2019-02-27,105.15970611572266,112.16999816894531,112.36000061035156,110.87999725341797,111.69000244140625,21487100.0,0,-0.11932818583629827,-0.12962332961397652,-0.6071192687856548,-0.22061823776796338,-1.649266112598653,-1.6652391381900853,-0.8828369607934381,-0.9665040367347366,-0.12960994224256356,-0.3448560744475845,-0.5066638524731567,0.39272810118284524,0.23112499076764417
2019-02-28,105.02842712402344,112.02999877929688,112.87999725341797,111.7300033569336,112.04000091552734,29083900.0,0,-0.09911783822799647,-0.10954514117235481,-0.8589582125108691,0.0502523119970935,-1.6437439524495912,-1.6597330199976397,-1.0840305300094375,-0.9840824209781506,0.664529225317067,-0.3444454857833938,0.655272629558718,0.1528298992749323,0.22659134526930927
2019-03-01,105.4971923828125,112.52999877929688,113.0199966430664,111.66999816894531,112.88999938964844,23501200.0,0,0.16068573724432525,0.14935420438464578,-0.7100735990411209,0.24308279029058094,-1.6404559477147014,-1.6537944332062198,-1.1464140993605847,-1.0266537679004446,-0.5528369202081876,-0.4289831131640962,-0.0705988429104658,0.04687517150020975,0.25757221701842165
