Date,Adj Close,Close,High,Low,Open,Volume
2019-01-02,94.39715576171875,101.12000274658203,101.75,98.94000244140625,99.55000305175781,35329300
2019-01-03,90.92447662353516,97.4000015258789,100.19000244140625,97.19999694824219,100.0999984741211,42579100
2019-01-04,95.15328216552734,101.93000030517578,102.51000213623047,98.93000030517578,99.72000122070312,44060600
2019-01-07,95.2746353149414,102.05999755859375,103.2699966430664,100.9800033569336,101.63999938964844,35656100
2019-01-08,95.96543884277344,102.80000305175781,103.97000122070312,101.70999908447266,103.04000091552734,31514400
2019-01-09,97.33773040771484,104.2699966430664,104.87999725341797,103.23999786376953,103.86000061035156,32280800
2019-01-10,96.71227264404297,103.5999984741211,103.75,102.37999725341797,103.22000122070312,30067600
2019-01-11,95.96543884277344,102.80000305175781,103.44000244140625,101.63999938964844,103.19000244140625,28314200
2019-01-14,95.26532745361328,102.05000305175781,102.87000274658203,101.26000213623047,101.9000015258789,28437100
2019-01-15,98.0285415649414,105.01000213623047,105.05000305175781,101.87999725341797,102.51000213623047,31587600
2019-01-16,98.37393188476562,105.37999725341797,106.26000213623047,104.95999908447266,105.26000213623047,29853900
2019-01-17,99.0647201538086,106.12000274658203,106.62999725341797,104.76000213623047,105.0,28393000
2019-01-18,100.54901885986328,107.70999908447266,107.9000015258789,105.91000366210938,107.45999908447266,37427600
2019-01-22,98.65398406982422,105.68000030517578,107.0999984741211,104.86000061035156,106.75,32371300
2019-01-23,99.61550903320312,106.70999908447266,107.04000091552734,105.33999633789062,106.12000274658203,25874300
2019-01-24,99.139404296875,106.19999694824219,107.0,105.33999633789062,106.86000061035156,23164800
2019-01-25,100.04492950439453,107.16999816894531,107.87999725341797,106.19999694824219,107.23999786376953,31225600
2019-01-28,98.0938720703125,105.08000183105469,106.4800033569336,104.66000366210938,106.26000213623047,29476700
2019-01-29,96.09616088867188,102.94000244140625,104.97000122070312,102.16999816894531,104.87999725341797,31490500
2019-01-30,99.30743408203125,106.37999725341797,106.37999725341797,104.33000183105469,104.62000274658203,49471900
2019-01-31,97.48709869384766,104.43000030517578,105.22000122070312,103.18000030517578,103.80000305175781,55636400
2019-02-01,95.94676208496094,102.77999877929688,104.0999984741211,102.3499984741211,103.77999877929688,35535700
2019-02-04,98.70999145507812,105.73999786376953,105.80000305175781,102.7699966430664,102.87000274658203,31315100
2019-02-05,100.09159851074219,107.22000122070312,107.2699966430664,105.95999908447266,106.05999755859375,27325400
2019-02-06,98.98070526123047,106.02999877929688,107.0,105.52999877929688,107.0,20609800
2019-02-07,98.27122497558594,105.2699966430664,105.58999633789062,104.29000091552734,105.19000244140625,29760700
2019-02-08,98.6446533203125,105.66999816894531,105.77999877929688,104.26000213623047,104.38999938964844,21461100
2019-02-11,98.2525634765625,105.25,106.58000183105469,104.97000122070312,106.19999694824219,18914100
2019-02-12,99.78353118896484,106.88999938964844,107.13999938964844,105.4800033569336,106.13999938964844,25056600
2019-02-13,99.7088623046875,106.80999755859375,107.77999877929688,106.70999908447266,107.5,18394900
2019-02-14,99.79289245605469,106.9000015258789,107.29000091552734,105.66000366210938,106.30999755859375,21784700
2019-02-15,101.02510070800781,108.22000122070312,108.30000305175781,107.36000061035156,107.91000366210938,26606900
2019-02-19,100.97844696044922,108.16999816894531,108.66000366210938,107.77999877929688,107.79000091552734,18038500
2019-02-20,100.45343017578125,107.1500015258789,107.94000244140625,106.29000091552734,107.86000061035156,21607700
2019-02-21,102.57220458984375,109.41000366210938,109.4800033569336,106.87000274658203,106.9000015258789,29063200
2019-02-22,104.03469848632812,110.97000122070312,111.19999694824219,109.81999969482422,110.05000305175781,27763200
2019-02-25,104.6159439086914,111.58999633789062,112.18000030517578,111.26000213623047,111.76000213623047,23750600
2019-02-26,105.33782958984375,112.36000061035156,113.23999786376953,111.16999816894531,111.26000213623047,21536700
2019-02-27,105.15970611572266,112.16999816894531,112.36000061035156,110.87999725341797,111.69000244140625,21487100
2019-02-28,105.02842712402344,112.02999877929688,112.87999725341797,111.7300033569336,112.04000091552734,29083900
2019-03-01,105.4971923828125,112.52999877929688,113.0199966430664,111.66999816894531,112.88999938964844,23501200
2019-03-04,105.24406433105469,112.26000213623047,113.25,110.80000305175781,113.0199966430664,26608000
2019-03-05,104.71907806396484,111.69999694824219,112.38999938964844,111.2300033569336,112.25,19538300
2019-03-06,104.76594543457031,111.75,112.66000366210938,111.43000030517578,111.87000274658203,17687000
2019-03-07,103.4909439086914,110.38999938964844,111.55000305175781,109.87000274658203,111.4000015258789,25339000
2019-03-08,103.6034164428711,110.51000213623047,110.70999908447266,108.80000305175781,109.16000366210938,22818400
2019-03-11,105.77845764160156,112.83000183105469,112.94999694824219,110.9800033569336,110.98999786376953,26491600
2019-03-12,106.51909637451172,113.62000274658203,113.98999786376953,112.6500015258789,112.81999969482422,26132700
2019-03-13,107.34410095214844,114.5,115.0,113.77999877929688,114.12999725341797,35513800
2019-03-14,107.42845916748047,114.58999633789062,115.19999694824219,114.33000183105469,114.54000091552734,30763400
2019-03-15,108.66596221923828,115.91000366210938,117.25,114.58999633789062,115.33999633789062,54681100
2019-03-18,110.22221374511719,117.56999969482422,117.61000061035156,116.05000305175781,116.16999816894531,31207600
2019-03-19,110.29723358154297,117.6500015258789,118.44000244140625,116.98999786376953,118.08999633789062,37588700
2019-03-20,110.1753158569336,117.5199966430664,118.75,116.70999908447266,117.38999938964844,28113300
2019-03-21,112.70658111572266,120.22000122070312,120.81999969482422,117.08999633789062,117.13999938964844,29854400
2019-03-22,109.7347183227539,117.05000305175781,119.58999633789062,117.04000091552734,119.5,33624500
2019-03-25,110.30657196044922,117.66000366210938,118.01000213623047,116.31999969482422,116.55999755859375,27067100
2019-03-26,110.54098510742188,117.91000366210938,118.70999908447266,116.8499984741211,118.62000274658203,26097700
